"train/epoch","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.05-group - model/param_rms_norm","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.05-group - model/param_rms_norm__MIN","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.05-group - model/param_rms_norm__MAX","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.05-group - _step","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.05-group - _step__MIN","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.05-group - _step__MAX","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.01-group - model/param_rms_norm","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.01-group - model/param_rms_norm__MIN","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.01-group - model/param_rms_norm__MAX","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.01-group - _step","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.01-group - _step__MIN","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.01-group - _step__MAX","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.0-group - model/param_rms_norm","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.0-group - model/param_rms_norm__MIN","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.0-group - model/param_rms_norm__MAX","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.0-group - _step","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.0-group - _step__MIN","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.0-group - _step__MAX"
"75","3.7663989067077637","3.763728141784668","3.7685420513153076","7296","7296","7296","3.777873158454895","3.7742576599121094","3.7793593406677246","7296","7296","7296","3.611410975456238","3.6097545623779297","3.6125900745391846","2964","2964","2964"
"76","3.769002139568329","3.765695095062256","3.771409511566162","7392","7392","7392","3.780076026916504","3.776305675506592","3.781742572784424","7392","7392","7392","3.6119473576545715","3.6107096672058105","3.613070249557495","3003","3003","3003"
"77","3.771988868713379","3.7692952156066895","3.774742603302002","7488","7488","7488","3.783296525478363","3.7790699005126953","3.7863590717315674","7488","7488","7488","3.6129554510116577","3.6114892959594727","3.6145172119140625","3042","3042","3042"
"78","3.7749650478363037","3.7732670307159424","3.7771778106689453","7584","7584","7584","3.78596168756485","3.781555414199829","3.788783550262451","7584","7584","7584","3.613862693309784","3.612612009048462","3.615323543548584","3081","3081","3081"
"79","3.778255522251129","3.7764768600463867","3.7794971466064453","7680","7680","7680","3.7886027097702026","3.785104274749756","3.7911458015441895","7680","7680","7680","3.6145992279052734","3.613356590270996","3.6156516075134277","3120","3120","3120"
"80","3.7803820967674255","3.777817487716675","3.7818706035614014","7776","7776","7776","3.791315019130707","3.7878153324127197","3.793769359588623","7776","7776","7776","3.6153828501701355","3.6142005920410156","3.6161763668060303","3159","3159","3159"
"81","3.7827863693237305","3.780789375305176","3.78454852104187","7872","7872","7872","3.794224500656128","3.7911698818206787","3.79636287689209","7872","7872","7872","3.616527020931244","3.6157615184783936","3.6169004440307617","3198","3198","3198"
"82","3.7851545214653015","3.7831225395202637","3.7873058319091797","7968","7968","7968","3.7974817752838135","3.7943758964538574","3.800264596939087","7968","7968","7968","3.617731750011444","3.6174635887145996","3.6179943084716797","3237","3237","3237"
"83","3.787502884864807","3.7850584983825684","3.7897095680236816","8064","8064","8064","3.8009417057037354","3.796964645385742","3.8030343055725098","8064","8064","8064","3.6189066767692566","3.6181883811950684","3.6193766593933105","3276","3276","3276"
"84","3.7901116013526917","3.78849196434021","3.791398525238037","8160","8160","8160","3.803779125213623","3.7999093532562256","3.8075201511383057","8160","8160","8160","3.61983585357666","3.6187589168548584","3.620431423187256","3315","3315","3315"
"85","3.7930657863616943","3.7914505004882812","3.793900489807129","8256","8256","8256","3.8069409132003784","3.8036985397338867","3.8111305236816406","8256","8256","8256","3.6206358075141907","3.6193177700042725","3.6215662956237793","3354","3354","3354"
"86","3.795412302017212","3.793839931488037","3.7963268756866455","8352","8352","8352","3.81076180934906","3.809436321258545","3.813755512237549","8352","8352","8352","3.6212726831436157","3.6201748847961426","3.6220362186431885","3393","3393","3393"
"87","3.7981101274490356","3.79672908782959","3.799619436264038","8448","8448","8448","3.813519537448883","3.811784029006958","3.8170385360717773","8448","8448","8448","3.621909260749817","3.6207897663116455","3.622617483139038","3432","3432","3432"
"88","3.8013910055160522","3.7986574172973633","3.803557872772217","8544","8544","8544","3.8166984915733337","3.8148176670074463","3.819905996322632","8544","8544","8544","3.6227094531059265","3.6217641830444336","3.624110221862793","3471","3471","3471"
"89","3.8043063282966614","3.8008882999420166","3.806736469268799","8640","8640","8640","3.8195712566375732","3.8174498081207275","3.8223462104797363","8640","8640","8640","3.6236565709114075","3.622788906097412","3.6252098083496094","3510","3510","3510"
